Work Order Number,Customer Number,Name,Address,City,State,OrderDate,DayOfWeek,Latitude,Longitude,Rt,Food Pallets,Pet Food Pallets,Chemical Pallets,Total Pallets,Seq
900018,053,Customer 053,6149 Main Street,Queens,NY,01/05/2026,Monday,40.7618627220245,-73.88916852512102,5,2.51,0.0,0.0,2.51,1
900021,066,Customer 066,6845 Main Street,Brooklyn,NY,01/05/2026,Monday,40.66065294279969,-73.87876303673895,1,0.73,0.06,0.0,0.79,1
900023,070,Customer 070,3828 Main Street,Brooklyn,NY,01/05/2026,Monday,40.67439672491399,-73.9226282137167,11,0.95,0.0,0.0,0.95,1
900024,084,Customer 084,9874 Main Street,Brooklyn,NY,01/05/2026,Monday,40.66480658774192,-73.9572281363883,15,0.59,0.31,0.25,1.15,1
900026,094,Customer 094,5509 Main Street,Queens,NY,01/05/2026,Monday,40.69384632036886,-73.84342565090739,37,3.71,0.0,0.0,3.71,1
900027,095,Customer 095,8408 Main Street,Queens,NY,01/05/2026,Monday,40.68727132626413,-73.82300862324279,38,4.89,0.0,0.0,4.89,1
900028,002,Customer 002,6988 Main Street,Queens,NY,01/06/2026,Tuesday,40.70595191172637,-73.75457110312014,25,0.63,0.04,0.0,0.67,1
900029,011,Customer 011,7338 Main Street,Brooklyn,NY,01/06/2026,Tuesday,40.652082455862505,-73.92481650340132,18,1.81,0.0,0.0,1.81,1
900034,036,Customer 036,8370 Main Street,New York,NY,01/06/2026,Tuesday,40.80325822563249,-73.93591692391615,14,0.53,0.0,0.46,0.99,1
900030,013,Customer 013,2880 Main Street,New York,NY,01/06/2026,Tuesday,40.81574307418728,-73.9379714247544,14,0.65,0.0,0.0,0.65,2
900033,029,Customer 029,7711 Main Street,Bronx,NY,01/06/2026,Tuesday,40.853619797063494,-73.90831990645347,14,1.63,0.0,0.0,1.63,3
900042,067,Customer 067,7664 Main Street,Bronx,NY,01/06/2026,Tuesday,40.86604266971237,-73.92623623009767,14,0.86,0.35,0.0,1.21,4
900035,041,Customer 041,4643 Main Street,New York,NY,01/06/2026,Tuesday,40.759382235947626,-73.93895415268634,21,0.5,0.0,0.0,0.5,1
900031,015,Customer 015,3948 Main Street,Bronx,NY,01/06/2026,Tuesday,40.82239448550935,-73.91429829435131,21,0.55,0.0,0.0,0.55,2
900032,028,Customer 028,1846 Main Street,Queens,NY,01/06/2026,Tuesday,40.71519521264396,-73.74349772371512,2,0.45,0.0,0.25,0.7,1
900038,056,Customer 056,196 Main Street,Queens,NY,01/06/2026,Tuesday,40.7572560717902,-73.91514119505781,2,0.94,0.0,0.0,0.94,2
900036,044,Customer 044,4551 Main Street,Brooklyn,NY,01/06/2026,Tuesday,40.685443993544496,-73.943950969423,73,0.46,0.35,0.0,0.81,1
900037,047,Customer 047,3605 Main Street,Manhattan,NY,01/06/2026,Tuesday,40.71773283828544,-73.98411846097412,3,0.43,0.0,0.0,0.43,1
900039,058,Customer 058,8918 Main Street,Manhattan,NY,01/06/2026,Tuesday,40.71874598664543,-73.98172887364404,3,0.49,0.05,0.0,0.54,2
900041,063,Customer 063,2191 Main Street,Brooklyn,NY,01/06/2026,Tuesday,40.689007393638555,-73.9173641706466,10,3.14,0.0,0.0,3.14,1
900040,062,Customer 062,5607 Main Street,Brooklyn,NY,01/06/2026,Tuesday,40.689239848977614,-73.91777406506378,10,1.88,0.0,0.25,2.13,2
900043,072,Customer 072,7006 Main Street,Brooklyn,NY,01/06/2026,Tuesday,40.65171110205392,-73.9191771105472,9,0.6,0.0,0.0,0.6,1
900044,075,Customer 075,1224 Main Street,Manhattan,NY,01/06/2026,Tuesday,40.70710965261643,-73.94500754484459,6,1.44,0.18,0.0,1.62,1
900045,077,Customer 077,433 Main Street,Brooklyn,NY,01/06/2026,Tuesday,40.68010726771517,-73.91396093950846,23,1.03,0.23,0.0,1.26,1
900046,081,Customer 081,6143 Main Street,Brooklyn,NY,01/06/2026,Tuesday,40.68024236564245,-73.93137158188019,17,1.31,0.0,0.0,1.31,1
900047,083,Customer 083,5196 Main Street,Brooklyn,NY,01/06/2026,Tuesday,40.63287188101084,-74.16028394578468,16,4.18,0.0,0.0,4.18,1
900048,084,Customer 084,6249 Main Street,Brooklyn,NY,01/06/2026,Tuesday,40.66480658774192,-73.9572281363883,15,0.45,0.21,0.0,0.66,1
900049,087,Customer 087,5041 Main Street,Brooklyn,NY,01/06/2026,Tuesday,40.66150707860249,-73.87346498223229,99,9.76,0.0,0.0,9.76,1
900050,089,Customer 089,5788 Main Street,Bronx,NY,01/06/2026,Tuesday,40.830728643622344,-73.89126472129591,33,5.81,0.0,0.0,5.81,1
900051,094,Customer 094,6034 Main Street,Queens,NY,01/06/2026,Tuesday,40.69384632036886,-73.84342565090739,37,4.12,0.0,0.0,4.12,1
900052,012,Customer 012,7485 Main Street,Brooklyn,NY,01/07/2026,Wednesday,40.636920669008184,-74.1652722110478,16,0.59,0.0,0.0,0.59,1
900053,014,Customer 014,5425 Main Street,Manhattan,NY,01/07/2026,Wednesday,40.76099884306126,-73.94084004193822,5,0.63,0.0,0.25,0.88,1
900062,041,Customer 041,7927 Main Street,New York,NY,01/07/2026,Wednesday,40.759382235947626,-73.93895415268634,21,0.5,0.0,0.25,0.75,1
900054,015,Customer 015,9867 Main Street,Bronx,NY,01/07/2026,Wednesday,40.82239448550935,-73.91429829435131,21,0.45,0.0,0.0,0.45,2
900060,032,Customer 032,3039 Main Street,Bronx,NY,01/07/2026,Wednesday,40.853589534832395,-73.89464414584027,21,0.42,0.0,0.0,0.42,3
900055,019,Customer 019,7900 Main Street,Manhattan,NY,01/07/2026,Wednesday,40.778836484045,-73.98329931044094,4,0.87,0.0,0.0,0.87,1
900056,021,Customer 021,4086 Main Street,Brooklyn,NY,01/07/2026,Wednesday,40.68093339365346,-73.94670663597643,18,1.58,0.35,0.0,1.93,1
900057,024,Customer 024,5519 Main Street,Bronx,NY,01/07/2026,Wednesday,40.896883630705474,-73.85135085346376,7,0.72,0.0,0.0,0.72,1
900058,025,Customer 025,3255 Main Street,Brooklyn,NY,01/07/2026,Wednesday,40.69835136729073,-73.9158925078441,8,0.79,0.0,0.0,0.79,1
900059,026,Customer 026,3238 Main Street,Queens,NY,01/07/2026,Wednesday,40.67584687606802,-73.85557337127459,73,4.24,0.0,0.0,4.24,1
900061,038,Customer 038,1780 Main Street,Manhattan,NY,01/07/2026,Wednesday,40.717842608430665,-73.9892410907712,3,0.89,0.0,0.0,0.89,1
900063,055,Customer 055,4971 Main Street,Queens,NY,01/07/2026,Wednesday,40.69661296220641,-73.82879015350318,25,7.76,0.03,0.0,7.79,1
900064,057,Customer 057,1725 Main Street,Bronx,NY,01/07/2026,Wednesday,40.81995444568525,-73.89158623543398,70,0.47,0.38,0.0,0.85,1
900068,082,Customer 082,9898 Main Street,Bronx,NY,01/07/2026,Wednesday,40.869718152184745,-73.87892875884225,70,0.82,0.0,0.0,0.82,2
900067,079,Customer 079,2137 Main Street,Brooklyn,NY,01/07/2026,Wednesday,40.65822719611959,-73.92944076589842,24,2.02,0.12,0.0,2.14,1
900065,060,Customer 060,1329 Main Street,Brooklyn,NY,01/07/2026,Wednesday,40.676333247614394,-73.88613509640518,24,0.86,0.1,0.0,0.96,2
900066,067,Customer 067,4434 Main Street,Bronx,NY,01/07/2026,Wednesday,40.86604266971237,-73.92623623009767,14,0.93,0.35,0.0,1.28,1
900069,085,Customer 085,9524 Main Street,Brooklyn,NY,01/07/2026,Wednesday,40.6758490834141,-73.87795663986044,11,0.75,0.08,0.0,0.83,1
900070,086,Customer 086,9541 Main Street,Bronx,NY,01/07/2026,Wednesday,40.85368960688969,-73.90929502876213,33,0.63,0.0,0.0,0.63,1
900071,092,Customer 092,1594 Main Street,Brooklyn,NY,01/07/2026,Wednesday,40.63740290973405,-73.92010562279191,35,4.48,0.0,0.0,4.48,1
900072,005,Customer 005,1542 Main Street,Queens,NY,01/08/2026,Thursday,40.69747391202919,-73.82905390354207,25,2.62,0.12,0.25,2.99,1
900077,035,Customer 035,5668 Main Street,Queens,NY,01/08/2026,Thursday,40.594970715995146,-73.77416307485291,1,0.54,0.0,0.0,0.54,1
900073,009,Customer 009,8989 Main Street,Queens,NY,01/08/2026,Thursday,40.600009486593315,-73.74405287870175,1,0.52,0.0,0.0,0.52,2
900081,043,Customer 043,6346 Main Street,Queens,NY,01/08/2026,Thursday,40.68152075934443,-73.85443641970784,1,0.57,0.07,0.0,0.64,3
900074,018,Customer 018,572 Main Street,Bronx,NY,01/08/2026,Thursday,40.84297611177931,-73.84592385676613,31,3.82,0.0,0.0,3.82,1
900075,023,Customer 023,1958 Main Street,Queens,NY,01/08/2026,Thursday,40.76091447600587,-73.88181045003793,5,1.16,0.35,0.06,1.57,1
900079,040,Customer 040,9003 Main Street,Queens,NY,01/08/2026,Thursday,40.76395482312956,-73.91128512522792,5,0.5,0.0,0.0,0.5,2
900076,030,Customer 030,9131 Main Street,Brooklyn,NY,01/08/2026,Thursday,40.63878496266752,-73.97263862633669,17,3.04,0.0,0.0,3.04,1
900078,039,Customer 039,8122 Main Street,Bronx,NY,01/08/2026,Thursday,40.84909985735391,-73.92113692416197,70,0.52,0.0,0.0,0.52,1
900088,082,Customer 082,2688 Main Street,Bronx,NY,01/08/2026,Thursday,40.869718152184745,-73.87892875884225,70,1.03,0.0,0.0,1.03,2
900080,042,Customer 042,6374 Main Street,Brooklyn,NY,01/08/2026,Thursday,40.63208584532311,-73.96647452968952,9,2.56,0.2,0.0,2.76,1
900082,048,Customer 048,1744 Main Street,Queens,NY,01/08/2026,Thursday,40.75405265049564,-73.81832518415463,2,0.41,0.0,0.0,0.41,1
900085,056,Customer 056,8094 Main Street,Queens,NY,01/08/2026,Thursday,40.7572560717902,-73.91514119505781,2,0.77,0.0,0.0,0.77,2
900083,049,Customer 049,2461 Main Street,Bronx,NY,01/08/2026,Thursday,40.84161725986629,-73.90132809233144,7,0.5,0.0,0.0,0.5,1
900084,050,Customer 050,4442 Main Street,Bronx,NY,01/08/2026,Thursday,40.88504380789946,-73.85462851943738,7,1.06,0.0,0.0,1.06,2
900086,075,Customer 075,2885 Main Street,Manhattan,NY,01/08/2026,Thursday,40.70710965261643,-73.94500754484459,6,1.44,0.14,0.0,1.58,1
900087,078,Customer 078,3904 Main Street,Manhattan,NY,01/08/2026,Thursday,40.76169824334662,-73.94957140792144,21,0.72,0.12,0.0,0.84,1
900089,086,Customer 086,5049 Main Street,Bronx,NY,01/08/2026,Thursday,40.85368960688969,-73.90929502876213,33,0.96,0.0,0.0,0.96,1
900090,090,Customer 090,4937 Main Street,Queens,NY,01/08/2026,Thursday,40.66953057344241,-73.7824756165742,34,6.43,0.0,0.0,6.43,1
900091,093,Customer 093,903 Main Street,Queens,NY,01/08/2026,Thursday,40.692614111895054,-73.84437929166077,36,3.44,0.0,0.0,3.44,1
900092,004,Customer 004,4206 Main Street,New York,NY,01/09/2026,Friday,40.81882756334608,-73.93725056647254,20,4.85,0.0,0.0,4.85,1
900093,005,Customer 005,1691 Main Street,Queens,NY,01/09/2026,Friday,40.69747391202919,-73.82905390354207,25,3.0,0.12,0.0,3.12,1
900094,006,Customer 006,9595 Main Street,Manhattan,NY,01/09/2026,Friday,40.80740818873632,-73.96565982955099,4,0.86,0.0,0.0,0.86,1
900101,061,Customer 061,7550 Main Street,Brooklyn,NY,01/09/2026,Friday,40.598422117306654,-73.94163633556525,15,0.87,0.0,0.0,0.87,1
900095,007,Customer 007,6907 Main Street,Brooklyn,NY,01/09/2026,Friday,40.63116428754058,-73.96665280296365,15,2.95,0.0,0.0,2.95,2
900096,008,Customer 008,8797 Main Street,Bronx,NY,01/09/2026,Friday,40.81813101864817,-73.90411620231987,70,1.17,0.0,0.0,1.17,1
900097,017,Customer 017,3796 Main Street,Brooklyn,NY,01/09/2026,Friday,40.68918573963909,-73.95966142657014,30,1.6,0.35,0.0,1.95,1
900104,073,Customer 073,522 Main Street,Brooklyn,NY,01/09/2026,Friday,40.65052535821618,-73.96218340829046,8,0.86,0.14,0.0,1.0,1
900098,025,Customer 025,4395 Main Street,Brooklyn,NY,01/09/2026,Friday,40.69835136729073,-73.9158925078441,8,0.82,0.0,0.0,0.82,2
900099,051,Customer 051,1722 Main Street,Queens,NY,01/09/2026,Friday,40.60737229758411,-73.75316746816085,1,0.86,0.0,0.0,0.86,1
900100,054,Customer 054,7385 Main Street,Manhattan,NY,01/09/2026,Friday,40.70449809311375,-73.95658499114683,10,0.46,0.0,0.0,0.46,1
900102,064,Customer 064,2163 Main Street,Brooklyn,NY,01/09/2026,Friday,40.67139788117989,-73.9340888408256,23,2.01,0.13,0.0,2.14,1
900103,068,Customer 068,2517 Main Street,Brooklyn,NY,01/09/2026,Friday,40.63036297971589,-74.08136228889674,17,0.94,0.16,0.0,1.1,1
900105,074,Customer 074,358 Main Street,Bronx,NY,01/09/2026,Friday,40.87654063424415,-73.86675762676278,71,2.21,0.04,0.0,2.25,1
900106,080,Customer 080,8354 Main Street,Queens,NY,01/09/2026,Friday,40.67620628689007,-73.74285399139629,2,0.75,0.0,0.0,0.75,1
900107,083,Customer 083,610 Main Street,Brooklyn,NY,01/09/2026,Friday,40.63287188101084,-74.16028394578468,16,4.45,0.0,0.0,4.45,1
900108,088,Customer 088,2530 Main Street,Bronx,NY,01/09/2026,Friday,40.85920015425595,-73.90056567901365,31,6.41,0.35,0.0,6.76,1
900126,091,Customer 091,7305 Main Street,Queens,NY,01/12/2026,Monday,40.69772873982824,-73.8341823153853,45,0.72,0.0,0.0,0.72,1
900109,001,Customer 001,9133 Main Street,Bronx,NY,01/12/2026,Monday,40.82393494763585,-73.90903906592717,45,4.12,0.35,0.0,4.47,2
900110,003,Customer 003,7530 Main Street,Bronx,NY,01/12/2026,Monday,40.86555164559,-73.88702973397817,19,8.12,0.0,0.0,8.12,1
900111,005,Customer 005,2600 Main Street,Queens,NY,01/12/2026,Monday,40.69747391202919,-73.82905390354207,25,2.51,0.09,0.0,2.6,1
900112,010,Customer 010,1082 Main Street,Brooklyn,NY,01/12/2026,Monday,40.65654070000209,-73.91897014191731,6,0.57,0.0,0.0,0.57,1
900122,059,Customer 059,9494 Main Street,Brooklyn,NY,01/12/2026,Monday,40.67755950741335,-73.91187495774679,6,0.61,0.17,0.0,0.78,2
900113,015,Customer 015,942 Main Street,Bronx,NY,01/12/2026,Monday,40.82239448550935,-73.91429829435131,21,0.55,0.0,0.0,0.55,1
900114,016,Customer 016,3585 Main Street,Bronx,NY,01/12/2026,Monday,40.854973107257365,-73.86437656576189,21,0.56,0.0,0.0,0.56,2
900115,018,Customer 018,1982 Main Street,Bronx,NY,01/12/2026,Monday,40.84297611177931,-73.84592385676613,31,4.86,0.0,0.0,4.86,1
900116,020,Customer 020,9221 Main Street,Queens,NY,01/12/2026,Monday,40.70811449489744,-73.79898444261066,32,0.59,0.0,0.0,0.59,1
900117,028,Customer 028,2424 Main Street,Queens,NY,01/12/2026,Monday,40.71519521264396,-73.74349772371512,2,0.6,0.0,0.0,0.6,1
900121,056,Customer 056,5902 Main Street,Queens,NY,01/12/2026,Monday,40.7572560717902,-73.91514119505781,2,0.82,0.0,0.0,0.82,2
900118,034,Customer 034,9399 Main Street,Manhattan,NY,01/12/2026,Monday,40.768896755175966,-73.95610818925888,3,1.32,0.0,0.06,1.38,1
900119,045,Customer 045,9817 Main Street,Brooklyn,NY,01/12/2026,Monday,40.63550402142037,-74.13303054062014,Bronx,0.87,0.0,0.0,0.87,1
900120,051,Customer 051,4286 Main Street,Queens,NY,01/12/2026,Monday,40.60737229758411,-73.75316746816085,1,0.71,0.0,0.0,0.71,1
900123,066,Customer 066,7255 Main Street,Brooklyn,NY,01/12/2026,Monday,40.66065294279969,-73.87876303673895,1,0.75,0.09,0.0,0.84,2
900124,067,Customer 067,6584 Main Street,Bronx,NY,01/12/2026,Monday,40.86604266971237,-73.92623623009767,14,0.71,0.0,0.0,0.71,1
900125,084,Customer 084,8195 Main Street,Brooklyn,NY,01/12/2026,Monday,40.66480658774192,-73.9572281363883,15,0.64,0.18,0.0,0.82,1
900131,036,Customer 036,5172 Main Street,New York,NY,01/13/2026,Tuesday,40.80325822563249,-73.93591692391615,14,0.49,0.0,0.47,0.96,1
900127,013,Customer 013,9466 Main Street,New York,NY,01/13/2026,Tuesday,40.81574307418728,-73.9379714247544,14,0.75,0.0,0.0,0.75,2
900130,029,Customer 029,9974 Main Street,Bronx,NY,01/13/2026,Tuesday,40.853619797063494,-73.90831990645347,14,1.52,0.0,0.0,1.52,3
900138,067,Customer 067,2367 Main Street,Bronx,NY,01/13/2026,Tuesday,40.86604266971237,-73.92623623009767,14,0.97,0.0,0.0,0.97,4
900132,041,Customer 041,1631 Main Street,New York,NY,01/13/2026,Tuesday,40.759382235947626,-73.93895415268634,21,0.61,0.0,0.0,0.61,1
900128,015,Customer 015,1795 Main Street,Bronx,NY,01/13/2026,Tuesday,40.82239448550935,-73.91429829435131,21,0.51,0.0,0.25,0.76,2
900129,028,Customer 028,5582 Main Street,Queens,NY,01/13/2026,Tuesday,40.71519521264396,-73.74349772371512,2,0.57,0.0,0.25,0.82,1
900135,056,Customer 056,7270 Main Street,Queens,NY,01/13/2026,Tuesday,40.7572560717902,-73.91514119505781,2,0.91,0.0,0.0,0.91,2
900133,044,Customer 044,8067 Main Street,Brooklyn,NY,01/13/2026,Tuesday,40.685443993544496,-73.943950969423,73,0.48,0.0,0.0,0.48,1
900134,047,Customer 047,8943 Main Street,Manhattan,NY,01/13/2026,Tuesday,40.71773283828544,-73.98411846097412,3,0.47,0.0,0.0,0.47,1
900137,063,Customer 063,7318 Main Street,Brooklyn,NY,01/13/2026,Tuesday,40.689007393638555,-73.9173641706466,10,2.4,0.0,0.0,2.4,1
900136,062,Customer 062,7784 Main Street,Brooklyn,NY,01/13/2026,Tuesday,40.689239848977614,-73.91777406506378,10,2.41,0.0,0.0,2.41,2
900139,081,Customer 081,536 Main Street,Brooklyn,NY,01/13/2026,Tuesday,40.68024236564245,-73.93137158188019,17,1.29,0.0,0.0,1.29,1
900140,083,Customer 083,3778 Main Street,Brooklyn,NY,01/13/2026,Tuesday,40.63287188101084,-74.16028394578468,16,3.56,0.0,0.0,3.56,1
900141,087,Customer 087,2373 Main Street,Brooklyn,NY,01/13/2026,Tuesday,40.66150707860249,-73.87346498223229,99,7.58,0.0,0.0,7.58,1
900142,089,Customer 089,3633 Main Street,Bronx,NY,01/13/2026,Tuesday,40.830728643622344,-73.89126472129591,33,7.32,0.0,0.25,7.57,1
900143,009,Customer 009,7132 Main Street,Queens,NY,01/14/2026,Wednesday,40.600009486593315,-73.74405287870175,1,0.52,0.0,0.0,0.52,1
900144,010,Customer 010,1502 Main Street,Brooklyn,NY,01/14/2026,Wednesday,40.65654070000209,-73.91897014191731,6,0.48,0.0,0.0,0.48,1
900153,041,Customer 041,1780 Main Street,New York,NY,01/14/2026,Wednesday,40.759382235947626,-73.93895415268634,21,0.62,0.0,0.0,0.62,1
900145,015,Customer 015,813 Main Street,Bronx,NY,01/14/2026,Wednesday,40.82239448550935,-73.91429829435131,21,0.51,0.35,0.0,0.86,2
900152,032,Customer 032,6434 Main Street,Bronx,NY,01/14/2026,Wednesday,40.853589534832395,-73.89464414584027,21,0.5,0.0,0.0,0.5,3
900146,018,Customer 018,1798 Main Street,Bronx,NY,01/14/2026,Wednesday,40.84297611177931,-73.84592385676613,31,3.32,0.0,0.0,3.32,1
900147,019,Customer 019,9045 Main Street,Manhattan,NY,01/14/2026,Wednesday,40.778836484045,-73.98329931044094,4,0.87,0.0,0.25,1.12,1
900148,021,Customer 021,7940 Main Street,Brooklyn,NY,01/14/2026,Wednesday,40.68093339365346,-73.94670663597643,18,1.6,0.0,0.0,1.6,1
900149,024,Customer 024,817 Main Street,Bronx,NY,01/14/2026,Wednesday,40.896883630705474,-73.85135085346376,7,0.8,0.0,0.0,0.8,1
900150,025,Customer 025,6624 Main Street,Brooklyn,NY,01/14/2026,Wednesday,40.69835136729073,-73.9158925078441,8,0.94,0.0,0.0,0.94,1
900151,026,Customer 026,3231 Main Street,Queens,NY,01/14/2026,Wednesday,40.67584687606802,-73.85557337127459,73,3.9,0.0,0.0,3.9,1
900154,067,Customer 067,2613 Main Street,Bronx,NY,01/14/2026,Wednesday,40.86604266971237,-73.92623623009767,14,0.76,0.0,0.0,0.76,1
900155,082,Customer 082,4778 Main Street,Bronx,NY,01/14/2026,Wednesday,40.869718152184745,-73.87892875884225,70,0.81,0.0,0.0,0.81,1
900156,086,Customer 086,1538 Main Street,Bronx,NY,01/14/2026,Wednesday,40.85368960688969,-73.90929502876213,33,0.65,0.0,0.0,0.65,1
900157,005,Customer 005,8194 Main Street,Queens,NY,01/15/2026,Thursday,40.69747391202919,-73.82905390354207,25,3.32,0.13,0.0,3.45,1
900158,009,Customer 009,5167 Main Street,Queens,NY,01/15/2026,Thursday,40.600009486593315,-73.74405287870175,1,0.52,0.0,0.0,0.52,1
900159,018,Customer 018,9132 Main Street,Bronx,NY,01/15/2026,Thursday,40.84297611177931,-73.84592385676613,31,4.15,0.0,0.0,4.15,1
900160,023,Customer 023,2797 Main Street,Queens,NY,01/15/2026,Thursday,40.76091447600587,-73.88181045003793,5,0.91,0.0,0.04,0.95,1
900161,030,Customer 030,5061 Main Street,Brooklyn,NY,01/15/2026,Thursday,40.63878496266752,-73.97263862633669,17,2.3,0.0,0.0,2.3,1
900162,039,Customer 039,1430 Main Street,Bronx,NY,01/15/2026,Thursday,40.84909985735391,-73.92113692416197,70,0.67,0.35,0.0,1.02,1
900163,049,Customer 049,4973 Main Street,Bronx,NY,01/15/2026,Thursday,40.84161725986629,-73.90132809233144,7,0.51,0.0,0.0,0.51,1
900164,050,Customer 050,7709 Main Street,Bronx,NY,01/15/2026,Thursday,40.88504380789946,-73.85462851943738,7,1.08,0.0,0.0,1.08,2
900165,056,Customer 056,9302 Main Street,Queens,NY,01/15/2026,Thursday,40.7572560717902,-73.91514119505781,2,0.98,0.0,0.0,0.98,1
900166,086,Customer 086,2294 Main Street,Bronx,NY,01/15/2026,Thursday,40.85368960688969,-73.90929502876213,33,0.72,0.35,0.0,1.07,1
900167,093,Customer 093,9108 Main Street,Queens,NY,01/15/2026,Thursday,40.692614111895054,-73.84437929166077,36,4.49,0.35,0.0,4.84,1
900168,005,Customer 005,3361 Main Street,Queens,NY,01/16/2026,Friday,40.69747391202919,-73.82905390354207,25,2.54,0.13,0.0,2.67,1
900169,006,Customer 006,5556 Main Street,Manhattan,NY,01/16/2026,Friday,40.80740818873632,-73.96565982955099,4,0.77,0.35,0.25,1.37,1
900170,007,Customer 007,2390 Main Street,Brooklyn,NY,01/16/2026,Friday,40.63116428754058,-73.96665280296365,15,3.55,0.0,0.0,3.55,1
900171,008,Customer 008,5002 Main Street,Bronx,NY,01/16/2026,Friday,40.81813101864817,-73.90411620231987,70,1.46,0.0,0.0,1.46,1
900172,015,Customer 015,5140 Main Street,Bronx,NY,01/16/2026,Friday,40.82239448550935,-73.91429829435131,21,0.47,0.0,0.0,0.47,1
900173,031,Customer 031,1900 Main Street,Bronx,NY,01/16/2026,Friday,40.85734534786821,-73.89474039555732,22,2.47,0.35,0.04,2.86,1
900174,051,Customer 051,4431 Main Street,Queens,NY,01/16/2026,Friday,40.60737229758411,-73.75316746816085,1,0.84,0.0,0.0,0.84,1
900175,064,Customer 064,8999 Main Street,Brooklyn,NY,01/16/2026,Friday,40.67139788117989,-73.9340888408256,23,1.88,0.16,0.0,2.04,1
900176,068,Customer 068,1394 Main Street,Brooklyn,NY,01/16/2026,Friday,40.63036297971589,-74.08136228889674,17,1.02,0.12,0.0,1.14,1
900179,081,Customer 081,7893 Main Street,Brooklyn,NY,01/16/2026,Friday,40.68024236564245,-73.93137158188019,17,1.12,0.0,0.0,1.12,2
900177,074,Customer 074,9714 Main Street,Bronx,NY,01/16/2026,Friday,40.87654063424415,-73.86675762676278,71,2.81,0.03,0.0,2.84,1
900178,080,Customer 080,2352 Main Street,Queens,NY,01/16/2026,Friday,40.67620628689007,-73.74285399139629,2,0.62,0.0,0.0,0.62,1
900180,083,Customer 083,1565 Main Street,Brooklyn,NY,01/16/2026,Friday,40.63287188101084,-74.16028394578468,16,4.54,0.0,0.0,4.54,1
900205,091,Customer 091,6344 Main Street,Queens,NY,01/19/2026,Monday,40.69772873982824,-73.8341823153853,45,0.8,0.35,0.0,1.15,1
